,data,numArticles,neutral,positive,negative
1044,2013-05-14,1,0.05875774,0.8450015,0.09624083
1045,2013-05-17,1,0.07492489,0.83439296,0.09068218
1046,2013-05-22,1,0.14112292,0.72002673,0.13885035
1047,2013-04-26,1,0.021221858,0.016494919,0.96228325
1048,2013-04-30,1,0.03475396,0.037438218,0.9278078
1049,2013-04-23,1,0.18750598,0.5712548,0.24123926
1050,2013-04-15,1,0.025542485,0.030252993,0.94420457
1051,2013-04-04,2,0.08561155,0.65451336,0.25987506
1052,2013-04-09,1,0.028737115,0.0832912,0.8879717
1053,2013-04-10,1,0.13282396,0.7720976,0.095078506
1054,2013-04-12,1,0.049452636,0.04987559,0.90067184
1055,2013-03-25,1,0.036550112,0.026603201,0.93684673
1056,2013-03-28,1,0.024043694,0.020628499,0.95532787
1057,2013-03-31,2,0.04593239,0.07984175,0.87422585
1058,2013-04-02,1,0.074532926,0.86372805,0.061739028
1059,2013-03-19,1,0.07303269,0.80814,0.118827224
1060,2013-03-06,2,0.23695548,0.660444,0.102600545
1061,2013-03-11,1,0.02470414,0.022684177,0.9526117
1062,2013-02-27,1,0.09086244,0.7896066,0.119531
1063,2013-03-01,2,0.042726964,0.02605066,0.93122244
1064,2013-03-04,1,0.042883024,0.021923183,0.9351938
1065,2013-02-12,2,0.06901929,0.6865649,0.24441583
1066,2013-02-13,1,0.08803891,0.77918196,0.13277914
1067,2013-02-14,1,0.031917624,0.042967975,0.9251144
1068,2013-02-15,1,0.12759848,0.50979966,0.3626018
1069,2013-02-20,1,0.07160826,0.03622262,0.89216906
1070,2013-02-21,1,0.028543392,0.01569375,0.9557628
1071,2013-02-22,1,0.19111797,0.47469935,0.33418262
1072,2013-02-04,2,0.035299912,0.027278543,0.93742156
1073,2013-02-07,1,0.029747782,0.03208946,0.9381627
1074,2013-02-08,3,0.07295732,0.8199112,0.10713158
1075,2013-02-11,1,0.02487886,0.020499624,0.95462143
1076,2013-01-30,1,0.1202476,0.6232737,0.25647873
1077,2013-02-01,2,0.14301024,0.55212456,0.30486515
1078,2012-12-17,2,0.10626504,0.59575045,0.29798454
1079,2012-12-24,1,0.03381223,0.018956868,0.9472308
1080,2012-12-28,1,0.03232072,0.023232123,0.94444716
1081,2012-12-07,1,0.063701585,0.62835664,0.30794176
1082,2012-12-10,2,0.059514817,0.4050114,0.53547376
1083,2012-12-14,1,0.11238407,0.7890897,0.09852621
1084,2012-11-28,2,0.039410885,0.4557652,0.5048239
1085,2012-12-04,2,0.049351886,0.1869381,0.76371
1086,2012-11-12,2,0.069009915,0.393904,0.5370861
1087,2012-11-05,2,0.049039,0.4437675,0.5071935
1088,2012-10-04,2,0.11467609,0.6474904,0.23783349
1089,2012-10-08,2,0.0465648,0.029359713,0.9240754
1090,2012-10-11,2,0.06153148,0.31554765,0.6229209
1091,2012-09-24,3,0.04435389,0.039088268,0.9165578
1092,2012-09-27,2,0.15829578,0.60769546,0.23400876
1093,2012-10-01,2,0.18264464,0.5340316,0.28332373
1094,2012-09-19,2,0.08188318,0.7120131,0.20610371
1095,2012-09-12,3,0.14386849,0.69149876,0.16463272
1096,2012-09-14,2,0.09232035,0.81973994,0.08793974
1097,2012-09-17,2,0.02517378,0.025778804,0.9490474
1098,2012-08-30,1,0.043620903,0.012660962,0.9437181
1099,2012-09-04,2,0.031420216,0.058102604,0.91047716
1100,2012-09-07,1,0.12039667,0.6575069,0.22209646
1101,2012-08-16,2,0.056120552,0.42756298,0.5163164
1102,2012-08-21,2,0.064027056,0.44984162,0.48613134
1103,2012-08-23,1,0.052925207,0.7412627,0.20581208
1104,2012-08-27,1,0.045899507,0.022693409,0.931407
1105,2012-08-09,2,0.055754878,0.47835064,0.46589455
1106,2012-07-23,2,0.025691101,0.044086143,0.93022275
1107,2012-07-25,2,0.047671124,0.2377775,0.7145514
1108,2012-07-13,2,0.09684539,0.7739766,0.12917796
1109,2012-07-20,2,0.039893456,0.071291134,0.8888154
1110,2012-07-10,2,0.072583064,0.34605175,0.5813653
1111,2012-07-11,2,0.039256364,0.033237092,0.92750657
1112,2012-06-26,2,0.058018368,0.8705017,0.071479954
1113,2012-06-29,3,0.12599099,0.7749621,0.099046916
1114,2012-07-02,2,0.0614067,0.42665133,0.511942
1115,2012-06-21,2,0.04659523,0.20590502,0.74749976
1116,2012-06-22,1,0.056726065,0.77174157,0.17153233
1117,2012-06-25,2,0.048204437,0.02665622,0.9251393
1118,2012-06-12,2,0.07705014,0.8226864,0.10026343
1119,2012-06-13,3,0.043060955,0.046669915,0.9102691
1120,2012-06-15,1,0.11830764,0.6942638,0.18742852
1121,2012-06-18,2,0.029351067,0.030009344,0.94063956
1122,2012-06-11,2,0.09292197,0.30526587,0.6018121
1123,2012-05-23,1,0.04267408,0.027649697,0.92967623
1124,2012-06-01,2,0.05609732,0.033815287,0.9100874
1125,2012-05-14,2,0.05493596,0.043928355,0.9011357
1126,2012-05-15,2,0.061433077,0.37775707,0.56080985
1127,2012-05-21,2,0.124235965,0.64832574,0.2274383
1128,2012-05-03,1,0.03381441,0.025767088,0.9404186
1129,2012-05-11,1,0.027838165,0.013662349,0.95849955
1130,2012-04-18,1,0.028561529,0.051447313,0.91999114
1131,2012-03-16,2,0.03277451,0.46454203,0.5026835
1132,2012-03-22,1,0.032797825,0.020014115,0.947188
1133,2012-03-27,1,0.03597431,0.021542326,0.94248337
1134,2012-02-29,2,0.10659687,0.7495239,0.14387919
1135,2012-03-05,1,0.034889914,0.022972962,0.9421371
1136,2012-03-07,1,0.06640081,0.85811925,0.07547997
1137,2012-03-08,1,0.22099148,0.56930286,0.20970568
1138,2012-03-13,1,0.08907663,0.85683787,0.054085508
1139,2012-02-28,2,0.09852355,0.7633871,0.13808936
1140,2012-02-03,3,0.08660412,0.6801784,0.23321752
1141,2012-02-05,1,0.88653755,0.029454323,0.08400816
1142,2012-01-26,1,0.095565386,0.74188614,0.16254853
1143,2012-01-30,4,0.041689,0.028309098,0.93000185
1144,2012-01-13,3,0.03182361,0.25109246,0.71708393
1145,2012-01-17,2,0.0804148,0.8286917,0.09089346
1146,2011-12-12,1,0.057067323,0.035703655,0.90722895
1147,2011-12-15,2,0.09945053,0.73201275,0.16853674
1148,2011-12-05,2,0.14835435,0.6656414,0.18600419
1149,2011-12-07,1,0.15102163,0.68935966,0.1596187
1150,2011-12-09,1,0.119160615,0.65007174,0.23076753
1151,2011-11-22,3,0.061910346,0.48660907,0.4514806
1152,2011-11-28,2,0.1416565,0.6586546,0.19968899
1153,2011-11-20,1,0.8781971,0.03388222,0.087920725
1154,2011-11-21,1,0.034212485,0.021380369,0.94440717
1155,2011-11-08,2,0.20611736,0.6405788,0.15330385
1156,2011-11-09,2,0.05557038,0.025537087,0.9188925
1157,2011-11-14,2,0.036943607,0.028098583,0.9349578
1158,2011-11-01,2,0.06648141,0.02539111,0.90812755
1159,2011-11-03,2,0.13527647,0.48963106,0.3750925
